L45147088,ZA,ZA-NW,,-25.3544147,23.1868218,!Khamab Kalahari Reserve,2026-05-30 22:58,84,12
L44852364,ZA,ZA-NW,,-25.2957936,23.1894698,!Khamab Kalahari Reserve--!Khamab Kalahari Lodge,2025-05-16 16:28,58,10
L56971674,ZA,ZA-NW,,-25.670104,23.1936483,!Khamab Kalahari Reserve—Working with Wildlife,2026-01-10 09:46,37,5
L34578473,ZA,ZA-WC,,-33.3616819,18.2714224,!Khwa ttu San Culture & Education Centre & NR,2026-05-30 10:46,60,46
L20698113,ZA,ZA-WC,,-33.8337367,18.6685667,"""Heyde Berg"" Park",2026-06-30 15:56,55,10
L6314417,ZA,ZA-NC,,-28.4711057,17.2169495,/Ai-/Ais-Richtersveld NP (South Africa),2017-10-24 00:00,48,2
L21491994,ZA,ZA-GT,,-26.0085957,28.1264055,24 solutions,2024-05-09 15:00,3,0
L25522843,ZA,ZA-GT,,-25.9737221,27.8354643,26 Degrees South--Cradle Moon Conservancy,2025-09-29 11:50,158,25
L17151139,ZA,ZA-EC,,-32.9062431,27.8688305,3 Silos MTB and Hiking Trails,2023-02-04 05:30,109,9
L10318378,ZA,ZA-FS,,-28.489279,27.06084,ADI Wildlife Sanctuary,2026-02-10 08:54,57,38
L39328419,ZA,ZA-GT,,-25.864758,28.23081,AFB Waterkloof Overlook Site,2026-02-24 07:12,76,6
L54420989,ZA,ZA-GT,,-25.8996275,28.1955332,ARC Wildlands,2026-02-15 15:56,8,0
L37870684,ZA,ZA-FS,,-28.0391499,26.2975648,"ARMIKA Wildlife Self-Catering (Pvt, By Appt. Only)",2024-11-07 12:31,47,5
L4010998,ZA,ZA-NC,,-29.9380522,18.4071314,Aardvark Kloof,2018-08-20 00:00,61,4
L62810747,ZA,ZA-EC,,-31.915782,24.561545,Aasvogelkrans Farm
L27284163,ZA,ZA-EC,,-32.9648729,27.9154191,Abbotsford Causeway,2024-11-08 12:06,60,6
L2519831,ZA,ZA-GT,,-26.3097273,27.3487473,Abe Bailey Nature Reserve,2026-03-08 11:17,218,41
L1283761,ZA,ZA-LP,,-24.4582639,30.6111744,Abel Erasmus Pass/Strijdom Tunnel (Taita Falcon),2026-07-04 08:00,221,275
L41073624,ZA,ZA-LP,,-23.9358239,30.8152991,Abelana GR,2025-10-10 11:17,34,28
L16607692,ZA,ZA-EC,,-33.4909271,25.7690709,Addo Ele. NP--Main Game Viewing Area (whole area btw. N2 & R342),2026-06-27 12:27,263,211
L3316670,ZA,ZA-EC,,-33.4438604,25.7460013,Addo Ele. NP--Main Rest Camp (Restcamp only),2026-07-02 16:00,265,345
